 iteration        1/     100 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 43866.0 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.083184E+01 | loss scale: 1.0 | grad norm: 7.826 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 23.344 | tokens per gpu per second (tgs): 2988.006 | TFLOPs: 2.57 |
 iteration       12/     100 | consumed samples:        12288 | consumed tokens:      3145728 | elapsed time per iteration (ms): 41490.1 | learning rate: 5.810E-05 | global batch size:  1024 | lm loss: 1.033759E+01 | loss scale: 1.0 | grad norm: 1.851 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.681 | tokens per gpu per second (tgs): 3159.113 | TFLOPs: 2.72 |
 iteration       13/     100 | consumed samples:        13312 | consumed tokens:      3407872 | elapsed time per iteration (ms): 41494.3 | learning rate: 5.778E-05 | global batch size:  1024 | lm loss: 1.031355E+01 | loss scale: 1.0 | grad norm: 1.838 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.678 | tokens per gpu per second (tgs): 3158.793 | TFLOPs: 2.72 |
 iteration       14/     100 | consumed samples:        14336 | consumed tokens:      3670016 | elapsed time per iteration (ms): 41501.2 | learning rate: 5.743E-05 | global batch size:  1024 | lm loss: 1.028060E+01 | loss scale: 1.0 | grad norm: 1.847 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.674 | tokens per gpu per second (tgs): 3158.269 | TFLOPs: 2.72 |
 iteration       15/     100 | consumed samples:        15360 | consumed tokens:      3932160 | elapsed time per iteration (ms): 41499.6 | learning rate: 5.706E-05 | global batch size:  1024 | lm loss: 1.025694E+01 | loss scale: 1.0 | grad norm: 1.834 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.675 | tokens per gpu per second (tgs): 3158.392 | TFLOPs: 2.72 |
 iteration       16/     100 | consumed samples:        16384 | consumed tokens:      4194304 | elapsed time per iteration (ms): 41695.7 | learning rate: 5.666E-05 | global batch size:  1024 | lm loss: 1.022418E+01 | loss scale: 1.0 | grad norm: 1.853 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.559 | tokens per gpu per second (tgs): 3143.534 | TFLOPs: 2.70 |
 iteration       17/     100 | consumed samples:        17408 | consumed tokens:      4456448 | elapsed time per iteration (ms): 41500.4 | learning rate: 5.624E-05 | global batch size:  1024 | lm loss: 1.018950E+01 | loss scale: 1.0 | grad norm: 1.859 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.674 | tokens per gpu per second (tgs): 3158.333 | TFLOPs: 2.72 |
 iteration       18/     100 | consumed samples:        18432 | consumed tokens:      4718592 | elapsed time per iteration (ms): 41501.6 | learning rate: 5.580E-05 | global batch size:  1024 | lm loss: 1.016723E+01 | loss scale: 1.0 | grad norm: 1.823 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.674 | tokens per gpu per second (tgs): 3158.240 | TFLOPs: 2.72 |
 iteration       19/     100 | consumed samples:        19456 | consumed tokens:      4980736 | elapsed time per iteration (ms): 41510.4 | learning rate: 5.533E-05 | global batch size:  1024 | lm loss: 1.013214E+01 | loss scale: 1.0 | grad norm: 1.850 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.669 | tokens per gpu per second (tgs): 3157.570 | TFLOPs: 2.72 |
 iteration       20/     100 | consumed samples:        20480 | consumed tokens:      5242880 | elapsed time per iteration (ms): 41475.0 | learning rate: 5.484E-05 | global batch size:  1024 | lm loss: 1.010424E+01 | loss scale: 1.0 | grad norm: 1.827 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.690 | tokens per gpu per second (tgs): 3160.266 | TFLOPs: 2.72 |
 iteration       21/     100 | consumed samples:        21504 | consumed tokens:      5505024 | elapsed time per iteration (ms): 41489.1 | learning rate: 5.433E-05 | global batch size:  1024 | lm loss: 1.007028E+01 | loss scale: 1.0 | grad norm: 1.851 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.681 | tokens per gpu per second (tgs): 3159.188 | TFLOPs: 2.72 |
 iteration       22/     100 | consumed samples:        22528 | consumed tokens:      5767168 | elapsed time per iteration (ms): 41490.1 | learning rate: 5.380E-05 | global batch size:  1024 | lm loss: 1.004406E+01 | loss scale: 1.0 | grad norm: 1.837 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.681 | tokens per gpu per second (tgs): 3159.113 | TFLOPs: 2.72 |
 iteration       23/     100 | consumed samples:        23552 | consumed tokens:      6029312 | elapsed time per iteration (ms): 41498.1 | learning rate: 5.325E-05 | global batch size:  1024 | lm loss: 1.001562E+01 | loss scale: 1.0 | grad norm: 1.830 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.676 | tokens per gpu per second (tgs): 3158.504 | TFLOPs: 2.72 |
 iteration       24/     100 | consumed samples:        24576 | consumed tokens:      6291456 | elapsed time per iteration (ms): 41491.6 | learning rate: 5.268E-05 | global batch size:  1024 | lm loss: 9.987040E+00 | loss scale: 1.0 | grad norm: 1.843 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.680 | tokens per gpu per second (tgs): 3159.000 | TFLOPs: 2.72 |
 iteration       25/     100 | consumed samples:        25600 | consumed tokens:      6553600 | elapsed time per iteration (ms): 41476.2 | learning rate: 5.209E-05 | global batch size:  1024 | lm loss: 9.956052E+00 | loss scale: 1.0 | grad norm: 1.839 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.689 | tokens per gpu per second (tgs): 3160.174 | TFLOPs: 2.72 |
 iteration       26/     100 | consumed samples:        26624 | consumed tokens:      6815744 | elapsed time per iteration (ms): 41497.0 | learning rate: 5.148E-05 | global batch size:  1024 | lm loss: 9.926996E+00 | loss scale: 1.0 | grad norm: 1.828 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.677 | tokens per gpu per second (tgs): 3158.593 | TFLOPs: 2.72 |
 iteration       27/     100 | consumed samples:        27648 | consumed tokens:      7077888 | elapsed time per iteration (ms): 41687.9 | learning rate: 5.086E-05 | global batch size:  1024 | lm loss: 9.896165E+00 | loss scale: 1.0 | grad norm: 1.857 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.563 | tokens per gpu per second (tgs): 3144.123 | TFLOPs: 2.71 |
 iteration       28/     100 | consumed samples:        28672 | consumed tokens:      7340032 | elapsed time per iteration (ms): 41626.7 | learning rate: 5.021E-05 | global batch size:  1024 | lm loss: 9.866699E+00 | loss scale: 1.0 | grad norm: 1.846 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.600 | tokens per gpu per second (tgs): 3148.748 | TFLOPs: 2.71 |
 iteration       29/     100 | consumed samples:        29696 | consumed tokens:      7602176 | elapsed time per iteration (ms): 41482.4 | learning rate: 4.955E-05 | global batch size:  1024 | lm loss: 9.847083E+00 | loss scale: 1.0 | grad norm: 1.838 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.685 | tokens per gpu per second (tgs): 3159.701 | TFLOPs: 2.72 |
 iteration       30/     100 | consumed samples:        30720 | consumed tokens:      7864320 | elapsed time per iteration (ms): 41483.0 | learning rate: 4.887E-05 | global batch size:  1024 | lm loss: 9.813962E+00 | loss scale: 1.0 | grad norm: 1.849 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 24.685 | tokens per gpu per second (tgs): 3159.654 | TFLOPs: 2.72 |
 iteration       31/     100 | consumed samples:        31744 | consumed tokens:      8126464 | elapsed time per iteration (ms): 39182.3 | learning rate: 4.818E-05 | global batch size:  1024 | lm loss: 9.790100E+00 | loss scale: 1.0 | grad norm: 1.825 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.134 | tokens per gpu per second (tgs): 3345.184 | TFLOPs: 2.88 |
 iteration       32/     100 | consumed samples:        32768 | consumed tokens:      8388608 | elapsed time per iteration (ms): 38897.2 | learning rate: 4.747E-05 | global batch size:  1024 | lm loss: 9.753792E+00 | loss scale: 1.0 | grad norm: 1.854 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.326 | tokens per gpu per second (tgs): 3369.702 | TFLOPs: 2.90 |
 iteration       33/     100 | consumed samples:        33792 | consumed tokens:      8650752 | elapsed time per iteration (ms): 38892.2 | learning rate: 4.674E-05 | global batch size:  1024 | lm loss: 9.731343E+00 | loss scale: 1.0 | grad norm: 1.842 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.329 | tokens per gpu per second (tgs): 3370.134 | TFLOPs: 2.90 |
 iteration       34/     100 | consumed samples:        34816 | consumed tokens:      8912896 | elapsed time per iteration (ms): 38901.8 | learning rate: 4.601E-05 | global batch size:  1024 | lm loss: 9.713614E+00 | loss scale: 1.0 | grad norm: 1.839 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.323 | tokens per gpu per second (tgs): 3369.302 | TFLOPs: 2.90 |
 iteration       35/     100 | consumed samples:        35840 | consumed tokens:      9175040 | elapsed time per iteration (ms): 38894.2 | learning rate: 4.526E-05 | global batch size:  1024 | lm loss: 9.681959E+00 | loss scale: 1.0 | grad norm: 1.832 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.328 | tokens per gpu per second (tgs): 3369.962 | TFLOPs: 2.90 |
 iteration       36/     100 | consumed samples:        36864 | consumed tokens:      9437184 | elapsed time per iteration (ms): 38895.1 | learning rate: 4.450E-05 | global batch size:  1024 | lm loss: 9.661157E+00 | loss scale: 1.0 | grad norm: 1.838 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.327 | tokens per gpu per second (tgs): 3369.885 | TFLOPs: 2.90 |
 iteration       37/     100 | consumed samples:        37888 | consumed tokens:      9699328 | elapsed time per iteration (ms): 38895.8 | learning rate: 4.372E-05 | global batch size:  1024 | lm loss: 9.640569E+00 | loss scale: 1.0 | grad norm: 1.831 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.327 | tokens per gpu per second (tgs): 3369.824 | TFLOPs: 2.90 |
 iteration       38/     100 | consumed samples:        38912 | consumed tokens:      9961472 | elapsed time per iteration (ms): 38893.1 | learning rate: 4.294E-05 | global batch size:  1024 | lm loss: 9.610420E+00 | loss scale: 1.0 | grad norm: 1.859 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.329 | tokens per gpu per second (tgs): 3370.058 | TFLOPs: 2.90 |
 iteration       39/     100 | consumed samples:        39936 | consumed tokens:     10223616 | elapsed time per iteration (ms): 39079.0 | learning rate: 4.215E-05 | global batch size:  1024 | lm loss: 9.591842E+00 | loss scale: 1.0 | grad norm: 1.835 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.203 | tokens per gpu per second (tgs): 3354.028 | TFLOPs: 2.89 |
 iteration       40/     100 | consumed samples:        40960 | consumed tokens:     10485760 | elapsed time per iteration (ms): 38895.8 | learning rate: 4.134E-05 | global batch size:  1024 | lm loss: 9.566782E+00 | loss scale: 1.0 | grad norm: 1.836 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.327 | tokens per gpu per second (tgs): 3369.820 | TFLOPs: 2.90 |
 iteration       41/     100 | consumed samples:        41984 | consumed tokens:     10747904 | elapsed time per iteration (ms): 39143.1 | learning rate: 4.053E-05 | global batch size:  1024 | lm loss: 9.546408E+00 | loss scale: 1.0 | grad norm: 1.834 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.160 | tokens per gpu per second (tgs): 3348.535 | TFLOPs: 2.88 |
 iteration       42/     100 | consumed samples:        43008 | consumed tokens:     11010048 | elapsed time per iteration (ms): 39296.0 | learning rate: 3.971E-05 | global batch size:  1024 | lm loss: 9.520537E+00 | loss scale: 1.0 | grad norm: 1.850 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.059 | tokens per gpu per second (tgs): 3335.504 | TFLOPs: 2.87 |
 iteration       43/     100 | consumed samples:        44032 | consumed tokens:     11272192 | elapsed time per iteration (ms): 39486.0 | learning rate: 3.889E-05 | global batch size:  1024 | lm loss: 9.500034E+00 | loss scale: 1.0 | grad norm: 1.832 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 25.933 | tokens per gpu per second (tgs): 3319.459 | TFLOPs: 2.86 |
 iteration       44/     100 | consumed samples:        45056 | consumed tokens:     11534336 | elapsed time per iteration (ms): 38904.2 | learning rate: 3.806E-05 | global batch size:  1024 | lm loss: 9.486910E+00 | loss scale: 1.0 | grad norm: 1.853 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.321 | tokens per gpu per second (tgs): 3369.098 | TFLOPs: 2.90 |
 iteration       45/     100 | consumed samples:        46080 | consumed tokens:     11796480 | elapsed time per iteration (ms): 38907.2 | learning rate: 3.722E-05 | global batch size:  1024 | lm loss: 9.458730E+00 | loss scale: 1.0 | grad norm: 1.827 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.319 | tokens per gpu per second (tgs): 3368.841 | TFLOPs: 2.90 |
 iteration       46/     100 | consumed samples:        47104 | consumed tokens:     12058624 | elapsed time per iteration (ms): 38903.2 | learning rate: 3.638E-05 | global batch size:  1024 | lm loss: 9.439587E+00 | loss scale: 1.0 | grad norm: 1.819 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.322 | tokens per gpu per second (tgs): 3369.181 | TFLOPs: 2.90 |
 iteration       47/     100 | consumed samples:        48128 | consumed tokens:     12320768 | elapsed time per iteration (ms): 38899.2 | learning rate: 3.554E-05 | global batch size:  1024 | lm loss: 9.425873E+00 | loss scale: 1.0 | grad norm: 1.841 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.324 | tokens per gpu per second (tgs): 3369.531 | TFLOPs: 2.90 |
 iteration       48/     100 | consumed samples:        49152 | consumed tokens:     12582912 | elapsed time per iteration (ms): 38901.2 | learning rate: 3.470E-05 | global batch size:  1024 | lm loss: 9.403041E+00 | loss scale: 1.0 | grad norm: 1.824 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.323 | tokens per gpu per second (tgs): 3369.352 | TFLOPs: 2.90 |
 iteration       49/     100 | consumed samples:        50176 | consumed tokens:     12845056 | elapsed time per iteration (ms): 38896.6 | learning rate: 3.385E-05 | global batch size:  1024 | lm loss: 9.390319E+00 | loss scale: 1.0 | grad norm: 1.830 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.326 | tokens per gpu per second (tgs): 3369.752 | TFLOPs: 2.90 |
 iteration       50/     100 | consumed samples:        51200 | consumed tokens:     13107200 | elapsed time per iteration (ms): 39080.8 | learning rate: 3.300E-05 | global batch size:  1024 | lm loss: 9.370012E+00 | loss scale: 1.0 | grad norm: 1.834 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.202 | tokens per gpu per second (tgs): 3353.869 | TFLOPs: 2.89 |
 iteration       51/     100 | consumed samples:        52224 | consumed tokens:     13369344 | elapsed time per iteration (ms): 38902.4 | learning rate: 3.215E-05 | global batch size:  1024 | lm loss: 9.345303E+00 | loss scale: 1.0 | grad norm: 1.840 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.322 | tokens per gpu per second (tgs): 3369.256 | TFLOPs: 2.90 |
 iteration       52/     100 | consumed samples:        53248 | consumed tokens:     13631488 | elapsed time per iteration (ms): 38901.2 | learning rate: 3.130E-05 | global batch size:  1024 | lm loss: 9.335193E+00 | loss scale: 1.0 | grad norm: 1.827 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.323 | tokens per gpu per second (tgs): 3369.357 | TFLOPs: 2.90 |
 iteration       53/     100 | consumed samples:        54272 | consumed tokens:     13893632 | elapsed time per iteration (ms): 38895.6 | learning rate: 3.046E-05 | global batch size:  1024 | lm loss: 9.319786E+00 | loss scale: 1.0 | grad norm: 1.835 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.327 | tokens per gpu per second (tgs): 3369.843 | TFLOPs: 2.90 |
 iteration       54/     100 | consumed samples:        55296 | consumed tokens:     14155776 | elapsed time per iteration (ms): 38906.7 | learning rate: 2.962E-05 | global batch size:  1024 | lm loss: 9.303521E+00 | loss scale: 1.0 | grad norm: 1.818 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.319 | tokens per gpu per second (tgs): 3368.882 | TFLOPs: 2.90 |
 iteration       55/     100 | consumed samples:        56320 | consumed tokens:     14417920 | elapsed time per iteration (ms): 38892.4 | learning rate: 2.878E-05 | global batch size:  1024 | lm loss: 9.289366E+00 | loss scale: 1.0 | grad norm: 1.825 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.329 | tokens per gpu per second (tgs): 3370.121 | TFLOPs: 2.90 |
 iteration       56/     100 | consumed samples:        57344 | consumed tokens:     14680064 | elapsed time per iteration (ms): 38899.9 | learning rate: 2.794E-05 | global batch size:  1024 | lm loss: 9.267750E+00 | loss scale: 1.0 | grad norm: 1.834 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.324 | tokens per gpu per second (tgs): 3369.465 | TFLOPs: 2.90 |
 iteration       57/     100 | consumed samples:        58368 | consumed tokens:     14942208 | elapsed time per iteration (ms): 38896.1 | learning rate: 2.711E-05 | global batch size:  1024 | lm loss: 9.259403E+00 | loss scale: 1.0 | grad norm: 1.828 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.327 | tokens per gpu per second (tgs): 3369.796 | TFLOPs: 2.90 |
 iteration       58/     100 | consumed samples:        59392 | consumed tokens:     15204352 | elapsed time per iteration (ms): 38904.2 | learning rate: 2.629E-05 | global batch size:  1024 | lm loss: 9.240509E+00 | loss scale: 1.0 | grad norm: 1.823 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.321 | tokens per gpu per second (tgs): 3369.100 | TFLOPs: 2.90 |
 iteration       59/     100 | consumed samples:        60416 | consumed tokens:     15466496 | elapsed time per iteration (ms): 39101.2 | learning rate: 2.547E-05 | global batch size:  1024 | lm loss: 9.221244E+00 | loss scale: 1.0 | grad norm: 1.821 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.188 | tokens per gpu per second (tgs): 3352.121 | TFLOPs: 2.88 |
 iteration       60/     100 | consumed samples:        61440 | consumed tokens:     15728640 | elapsed time per iteration (ms): 38901.3 | learning rate: 2.466E-05 | global batch size:  1024 | lm loss: 9.213303E+00 | loss scale: 1.0 | grad norm: 1.835 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.323 | tokens per gpu per second (tgs): 3369.348 | TFLOPs: 2.90 |
 iteration       61/     100 | consumed samples:        62464 | consumed tokens:     15990784 | elapsed time per iteration (ms): 38899.1 | learning rate: 2.385E-05 | global batch size:  1024 | lm loss: 9.207484E+00 | loss scale: 1.0 | grad norm: 1.836 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.325 | tokens per gpu per second (tgs): 3369.542 | TFLOPs: 2.90 |
 iteration       62/     100 | consumed samples:        63488 | consumed tokens:     16252928 | elapsed time per iteration (ms): 39079.2 | learning rate: 2.306E-05 | global batch size:  1024 | lm loss: 9.192799E+00 | loss scale: 1.0 | grad norm: 1.863 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.203 | tokens per gpu per second (tgs): 3354.011 | TFLOPs: 2.89 |
 iteration       63/     100 | consumed samples:        64512 | consumed tokens:     16515072 | elapsed time per iteration (ms): 38902.3 | learning rate: 2.228E-05 | global batch size:  1024 | lm loss: 9.185797E+00 | loss scale: 1.0 | grad norm: 1.843 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.322 | tokens per gpu per second (tgs): 3369.261 | TFLOPs: 2.90 |
 iteration       64/     100 | consumed samples:        65536 | consumed tokens:     16777216 | elapsed time per iteration (ms): 38898.8 | learning rate: 2.150E-05 | global batch size:  1024 | lm loss: 9.180114E+00 | loss scale: 1.0 | grad norm: 1.822 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.325 | tokens per gpu per second (tgs): 3369.567 | TFLOPs: 2.90 |
 iteration       65/     100 | consumed samples:        66560 | consumed tokens:     17039360 | elapsed time per iteration (ms): 38900.1 | learning rate: 2.074E-05 | global batch size:  1024 | lm loss: 9.163103E+00 | loss scale: 1.0 | grad norm: 1.960 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.324 | tokens per gpu per second (tgs): 3369.450 | TFLOPs: 2.90 |
 iteration       66/     100 | consumed samples:        67584 | consumed tokens:     17301504 | elapsed time per iteration (ms): 38894.9 | learning rate: 1.999E-05 | global batch size:  1024 | lm loss: 9.144228E+00 | loss scale: 1.0 | grad norm: 1.884 | num zeros: 0.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 26.327 | tokens per gpu per second (tgs): 3369.900 | TFLOPs: 2.90 |
