 iteration        1/     100 | consumed samples:         1024 | consumed tokens:       262144 | elapsed time per iteration (ms): 129204.5 | learning rate: 5.999E-05 | global batch size:  1024 | lm loss: 1.083638E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.925 | tokens per gpu per second (tgs): 1014.454 | TFLOPs: 0.87 |
 iteration       12/     100 | consumed samples:        12288 | consumed tokens:      3145728 | elapsed time per iteration (ms): 127703.4 | learning rate: 5.810E-05 | global batch size:  1024 | lm loss: 1.034746E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.019 | tokens per gpu per second (tgs): 1026.378 | TFLOPs: 0.88 |
 iteration       13/     100 | consumed samples:        13312 | consumed tokens:      3407872 | elapsed time per iteration (ms): 127242.8 | learning rate: 5.778E-05 | global batch size:  1024 | lm loss: 1.032400E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.048 | tokens per gpu per second (tgs): 1030.094 | TFLOPs: 0.89 |
 iteration       14/     100 | consumed samples:        14336 | consumed tokens:      3670016 | elapsed time per iteration (ms): 127033.1 | learning rate: 5.743E-05 | global batch size:  1024 | lm loss: 1.029403E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.061 | tokens per gpu per second (tgs): 1031.794 | TFLOPs: 0.89 |
 iteration       15/     100 | consumed samples:        15360 | consumed tokens:      3932160 | elapsed time per iteration (ms): 127405.7 | learning rate: 5.706E-05 | global batch size:  1024 | lm loss: 1.026827E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.037 | tokens per gpu per second (tgs): 1028.776 | TFLOPs: 0.89 |
 iteration       16/     100 | consumed samples:        16384 | consumed tokens:      4194304 | elapsed time per iteration (ms): 126983.6 | learning rate: 5.666E-05 | global batch size:  1024 | lm loss: 1.023287E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.064 | tokens per gpu per second (tgs): 1032.196 | TFLOPs: 0.89 |
 iteration       17/     100 | consumed samples:        17408 | consumed tokens:      4456448 | elapsed time per iteration (ms): 127263.0 | learning rate: 5.624E-05 | global batch size:  1024 | lm loss: 1.019932E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.046 | tokens per gpu per second (tgs): 1029.931 | TFLOPs: 0.89 |
 iteration       18/     100 | consumed samples:        18432 | consumed tokens:      4718592 | elapsed time per iteration (ms): 127332.6 | learning rate: 5.580E-05 | global batch size:  1024 | lm loss: 1.017338E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.042 | tokens per gpu per second (tgs): 1029.367 | TFLOPs: 0.89 |
 iteration       19/     100 | consumed samples:        19456 | consumed tokens:      4980736 | elapsed time per iteration (ms): 127186.6 | learning rate: 5.533E-05 | global batch size:  1024 | lm loss: 1.013910E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.051 | tokens per gpu per second (tgs): 1030.549 | TFLOPs: 0.89 |
 iteration       20/     100 | consumed samples:        20480 | consumed tokens:      5242880 | elapsed time per iteration (ms): 127063.6 | learning rate: 5.484E-05 | global batch size:  1024 | lm loss: 1.011174E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.059 | tokens per gpu per second (tgs): 1031.546 | TFLOPs: 0.89 |
 iteration       21/     100 | consumed samples:        21504 | consumed tokens:      5505024 | elapsed time per iteration (ms): 127271.7 | learning rate: 5.433E-05 | global batch size:  1024 | lm loss: 1.007552E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.046 | tokens per gpu per second (tgs): 1029.860 | TFLOPs: 0.89 |
 iteration       22/     100 | consumed samples:        22528 | consumed tokens:      5767168 | elapsed time per iteration (ms): 127359.2 | learning rate: 5.380E-05 | global batch size:  1024 | lm loss: 1.004767E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.040 | tokens per gpu per second (tgs): 1029.153 | TFLOPs: 0.89 |
 iteration       23/     100 | consumed samples:        23552 | consumed tokens:      6029312 | elapsed time per iteration (ms): 127126.4 | learning rate: 5.325E-05 | global batch size:  1024 | lm loss: 1.001997E+01 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.055 | tokens per gpu per second (tgs): 1031.037 | TFLOPs: 0.89 |
 iteration       24/     100 | consumed samples:        24576 | consumed tokens:      6291456 | elapsed time per iteration (ms): 127354.6 | learning rate: 5.268E-05 | global batch size:  1024 | lm loss: 9.991308E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.041 | tokens per gpu per second (tgs): 1029.189 | TFLOPs: 0.89 |
 iteration       25/     100 | consumed samples:        25600 | consumed tokens:      6553600 | elapsed time per iteration (ms): 127210.2 | learning rate: 5.209E-05 | global batch size:  1024 | lm loss: 9.957546E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.050 | tokens per gpu per second (tgs): 1030.358 | TFLOPs: 0.89 |
 iteration       26/     100 | consumed samples:        26624 | consumed tokens:      6815744 | elapsed time per iteration (ms): 127618.7 | learning rate: 5.148E-05 | global batch size:  1024 | lm loss: 9.928888E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.024 | tokens per gpu per second (tgs): 1027.059 | TFLOPs: 0.88 |
 iteration       27/     100 | consumed samples:        27648 | consumed tokens:      7077888 | elapsed time per iteration (ms): 127503.4 | learning rate: 5.086E-05 | global batch size:  1024 | lm loss: 9.894502E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.031 | tokens per gpu per second (tgs): 1027.988 | TFLOPs: 0.88 |
 iteration       28/     100 | consumed samples:        28672 | consumed tokens:      7340032 | elapsed time per iteration (ms): 127935.1 | learning rate: 5.021E-05 | global batch size:  1024 | lm loss: 9.864719E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.004 | tokens per gpu per second (tgs): 1024.519 | TFLOPs: 0.88 |
 iteration       29/     100 | consumed samples:        29696 | consumed tokens:      7602176 | elapsed time per iteration (ms): 127631.9 | learning rate: 4.955E-05 | global batch size:  1024 | lm loss: 9.845063E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.023 | tokens per gpu per second (tgs): 1026.954 | TFLOPs: 0.88 |
 iteration       30/     100 | consumed samples:        30720 | consumed tokens:      7864320 | elapsed time per iteration (ms): 127611.0 | learning rate: 4.887E-05 | global batch size:  1024 | lm loss: 9.810371E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.024 | tokens per gpu per second (tgs): 1027.121 | TFLOPs: 0.88 |
 iteration       31/     100 | consumed samples:        31744 | consumed tokens:      8126464 | elapsed time per iteration (ms): 127803.2 | learning rate: 4.818E-05 | global batch size:  1024 | lm loss: 9.786904E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.012 | tokens per gpu per second (tgs): 1025.577 | TFLOPs: 0.88 |
 iteration       32/     100 | consumed samples:        32768 | consumed tokens:      8388608 | elapsed time per iteration (ms): 127519.7 | learning rate: 4.747E-05 | global batch size:  1024 | lm loss: 9.747807E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.030 | tokens per gpu per second (tgs): 1027.857 | TFLOPs: 0.88 |
 iteration       33/     100 | consumed samples:        33792 | consumed tokens:      8650752 | elapsed time per iteration (ms): 127916.2 | learning rate: 4.674E-05 | global batch size:  1024 | lm loss: 9.725558E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.005 | tokens per gpu per second (tgs): 1024.671 | TFLOPs: 0.88 |
 iteration       34/     100 | consumed samples:        34816 | consumed tokens:      8912896 | elapsed time per iteration (ms): 128119.5 | learning rate: 4.601E-05 | global batch size:  1024 | lm loss: 9.705530E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.993 | tokens per gpu per second (tgs): 1023.045 | TFLOPs: 0.88 |
 iteration       35/     100 | consumed samples:        35840 | consumed tokens:      9175040 | elapsed time per iteration (ms): 128305.3 | learning rate: 4.526E-05 | global batch size:  1024 | lm loss: 9.673068E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.981 | tokens per gpu per second (tgs): 1021.563 | TFLOPs: 0.88 |
 iteration       36/     100 | consumed samples:        36864 | consumed tokens:      9437184 | elapsed time per iteration (ms): 127560.1 | learning rate: 4.450E-05 | global batch size:  1024 | lm loss: 9.651527E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.028 | tokens per gpu per second (tgs): 1027.531 | TFLOPs: 0.88 |
 iteration       37/     100 | consumed samples:        37888 | consumed tokens:      9699328 | elapsed time per iteration (ms): 127794.5 | learning rate: 4.372E-05 | global batch size:  1024 | lm loss: 9.629090E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.013 | tokens per gpu per second (tgs): 1025.647 | TFLOPs: 0.88 |
 iteration       38/     100 | consumed samples:        38912 | consumed tokens:      9961472 | elapsed time per iteration (ms): 127584.7 | learning rate: 4.294E-05 | global batch size:  1024 | lm loss: 9.598248E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.026 | tokens per gpu per second (tgs): 1027.333 | TFLOPs: 0.88 |
 iteration       39/     100 | consumed samples:        39936 | consumed tokens:     10223616 | elapsed time per iteration (ms): 127610.0 | learning rate: 4.215E-05 | global batch size:  1024 | lm loss: 9.579665E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.024 | tokens per gpu per second (tgs): 1027.130 | TFLOPs: 0.88 |
 iteration       40/     100 | consumed samples:        40960 | consumed tokens:     10485760 | elapsed time per iteration (ms): 127345.5 | learning rate: 4.134E-05 | global batch size:  1024 | lm loss: 9.554326E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.041 | tokens per gpu per second (tgs): 1029.263 | TFLOPs: 0.89 |
 iteration       41/     100 | consumed samples:        41984 | consumed tokens:     10747904 | elapsed time per iteration (ms): 127558.7 | learning rate: 4.053E-05 | global batch size:  1024 | lm loss: 9.533193E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.028 | tokens per gpu per second (tgs): 1027.543 | TFLOPs: 0.88 |
 iteration       42/     100 | consumed samples:        43008 | consumed tokens:     11010048 | elapsed time per iteration (ms): 128283.6 | learning rate: 3.971E-05 | global batch size:  1024 | lm loss: 9.507540E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.982 | tokens per gpu per second (tgs): 1021.736 | TFLOPs: 0.88 |
 iteration       43/     100 | consumed samples:        44032 | consumed tokens:     11272192 | elapsed time per iteration (ms): 127788.6 | learning rate: 3.889E-05 | global batch size:  1024 | lm loss: 9.484558E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.013 | tokens per gpu per second (tgs): 1025.694 | TFLOPs: 0.88 |
 iteration       44/     100 | consumed samples:        45056 | consumed tokens:     11534336 | elapsed time per iteration (ms): 128506.3 | learning rate: 3.806E-05 | global batch size:  1024 | lm loss: 9.471931E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.968 | tokens per gpu per second (tgs): 1019.966 | TFLOPs: 0.88 |
 iteration       45/     100 | consumed samples:        46080 | consumed tokens:     11796480 | elapsed time per iteration (ms): 128065.3 | learning rate: 3.722E-05 | global batch size:  1024 | lm loss: 9.444528E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.996 | tokens per gpu per second (tgs): 1023.478 | TFLOPs: 0.88 |
 iteration       46/     100 | consumed samples:        47104 | consumed tokens:     12058624 | elapsed time per iteration (ms): 127584.5 | learning rate: 3.638E-05 | global batch size:  1024 | lm loss: 9.425403E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.026 | tokens per gpu per second (tgs): 1027.335 | TFLOPs: 0.88 |
 iteration       47/     100 | consumed samples:        48128 | consumed tokens:     12320768 | elapsed time per iteration (ms): 127574.2 | learning rate: 3.554E-05 | global batch size:  1024 | lm loss: 9.410293E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.027 | tokens per gpu per second (tgs): 1027.418 | TFLOPs: 0.88 |
 iteration       48/     100 | consumed samples:        49152 | consumed tokens:     12582912 | elapsed time per iteration (ms): 127456.0 | learning rate: 3.470E-05 | global batch size:  1024 | lm loss: 9.387725E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.034 | tokens per gpu per second (tgs): 1028.371 | TFLOPs: 0.89 |
 iteration       49/     100 | consumed samples:        50176 | consumed tokens:     12845056 | elapsed time per iteration (ms): 127293.3 | learning rate: 3.385E-05 | global batch size:  1024 | lm loss: 9.376364E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.044 | tokens per gpu per second (tgs): 1029.685 | TFLOPs: 0.89 |
 iteration       50/     100 | consumed samples:        51200 | consumed tokens:     13107200 | elapsed time per iteration (ms): 127647.8 | learning rate: 3.300E-05 | global batch size:  1024 | lm loss: 9.356470E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.022 | tokens per gpu per second (tgs): 1026.825 | TFLOPs: 0.88 |
 iteration       51/     100 | consumed samples:        52224 | consumed tokens:     13369344 | elapsed time per iteration (ms): 127560.3 | learning rate: 3.215E-05 | global batch size:  1024 | lm loss: 9.329597E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.028 | tokens per gpu per second (tgs): 1027.530 | TFLOPs: 0.88 |
 iteration       52/     100 | consumed samples:        53248 | consumed tokens:     13631488 | elapsed time per iteration (ms): 127956.1 | learning rate: 3.130E-05 | global batch size:  1024 | lm loss: 9.320396E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.003 | tokens per gpu per second (tgs): 1024.351 | TFLOPs: 0.88 |
 iteration       53/     100 | consumed samples:        54272 | consumed tokens:     13893632 | elapsed time per iteration (ms): 127798.7 | learning rate: 3.046E-05 | global batch size:  1024 | lm loss: 9.304734E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.013 | tokens per gpu per second (tgs): 1025.613 | TFLOPs: 0.88 |
 iteration       54/     100 | consumed samples:        55296 | consumed tokens:     14155776 | elapsed time per iteration (ms): 128142.9 | learning rate: 2.962E-05 | global batch size:  1024 | lm loss: 9.288749E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.991 | tokens per gpu per second (tgs): 1022.858 | TFLOPs: 0.88 |
 iteration       55/     100 | consumed samples:        56320 | consumed tokens:     14417920 | elapsed time per iteration (ms): 128174.5 | learning rate: 2.878E-05 | global batch size:  1024 | lm loss: 9.274921E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.989 | tokens per gpu per second (tgs): 1022.606 | TFLOPs: 0.88 |
 iteration       56/     100 | consumed samples:        57344 | consumed tokens:     14680064 | elapsed time per iteration (ms): 128114.3 | learning rate: 2.794E-05 | global batch size:  1024 | lm loss: 9.253785E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.993 | tokens per gpu per second (tgs): 1023.087 | TFLOPs: 0.88 |
 iteration       57/     100 | consumed samples:        58368 | consumed tokens:     14942208 | elapsed time per iteration (ms): 128173.7 | learning rate: 2.711E-05 | global batch size:  1024 | lm loss: 9.245440E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.989 | tokens per gpu per second (tgs): 1022.612 | TFLOPs: 0.88 |
 iteration       58/     100 | consumed samples:        59392 | consumed tokens:     15204352 | elapsed time per iteration (ms): 127798.8 | learning rate: 2.629E-05 | global batch size:  1024 | lm loss: 9.227157E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.013 | tokens per gpu per second (tgs): 1025.612 | TFLOPs: 0.88 |
 iteration       59/     100 | consumed samples:        60416 | consumed tokens:     15466496 | elapsed time per iteration (ms): 128154.7 | learning rate: 2.547E-05 | global batch size:  1024 | lm loss: 9.207352E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.990 | tokens per gpu per second (tgs): 1022.764 | TFLOPs: 0.88 |
 iteration       60/     100 | consumed samples:        61440 | consumed tokens:     15728640 | elapsed time per iteration (ms): 127275.7 | learning rate: 2.466E-05 | global batch size:  1024 | lm loss: 9.199787E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.046 | tokens per gpu per second (tgs): 1029.827 | TFLOPs: 0.89 |
 iteration       61/     100 | consumed samples:        62464 | consumed tokens:     15990784 | elapsed time per iteration (ms): 127155.3 | learning rate: 2.385E-05 | global batch size:  1024 | lm loss: 9.194623E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.053 | tokens per gpu per second (tgs): 1030.802 | TFLOPs: 0.89 |
 iteration       62/     100 | consumed samples:        63488 | consumed tokens:     16252928 | elapsed time per iteration (ms): 128245.6 | learning rate: 2.306E-05 | global batch size:  1024 | lm loss: 9.180791E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.985 | tokens per gpu per second (tgs): 1022.039 | TFLOPs: 0.88 |
 iteration       63/     100 | consumed samples:        64512 | consumed tokens:     16515072 | elapsed time per iteration (ms): 128045.3 | learning rate: 2.228E-05 | global batch size:  1024 | lm loss: 9.173571E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.997 | tokens per gpu per second (tgs): 1023.638 | TFLOPs: 0.88 |
 iteration       64/     100 | consumed samples:        65536 | consumed tokens:     16777216 | elapsed time per iteration (ms): 127654.8 | learning rate: 2.150E-05 | global batch size:  1024 | lm loss: 9.167718E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.022 | tokens per gpu per second (tgs): 1026.769 | TFLOPs: 0.88 |
 iteration       65/     100 | consumed samples:        66560 | consumed tokens:     17039360 | elapsed time per iteration (ms): 127544.5 | learning rate: 2.074E-05 | global batch size:  1024 | lm loss: 9.149499E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.029 | tokens per gpu per second (tgs): 1027.657 | TFLOPs: 0.88 |
 iteration       66/     100 | consumed samples:        67584 | consumed tokens:     17301504 | elapsed time per iteration (ms): 127430.1 | learning rate: 1.999E-05 | global batch size:  1024 | lm loss: 9.131562E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.036 | tokens per gpu per second (tgs): 1028.580 | TFLOPs: 0.89 |
 iteration       67/     100 | consumed samples:        68608 | consumed tokens:     17563648 | elapsed time per iteration (ms): 127966.6 | learning rate: 1.926E-05 | global batch size:  1024 | lm loss: 9.125047E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.002 | tokens per gpu per second (tgs): 1024.267 | TFLOPs: 0.88 |
 iteration       68/     100 | consumed samples:        69632 | consumed tokens:     17825792 | elapsed time per iteration (ms): 128117.3 | learning rate: 1.853E-05 | global batch size:  1024 | lm loss: 9.125447E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.993 | tokens per gpu per second (tgs): 1023.063 | TFLOPs: 0.88 |
 iteration       69/     100 | consumed samples:        70656 | consumed tokens:     18087936 | elapsed time per iteration (ms): 128155.3 | learning rate: 1.782E-05 | global batch size:  1024 | lm loss: 9.111187E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.990 | tokens per gpu per second (tgs): 1022.759 | TFLOPs: 0.88 |
 iteration       70/     100 | consumed samples:        71680 | consumed tokens:     18350080 | elapsed time per iteration (ms): 127941.4 | learning rate: 1.713E-05 | global batch size:  1024 | lm loss: 9.100408E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.004 | tokens per gpu per second (tgs): 1024.469 | TFLOPs: 0.88 |
 iteration       71/     100 | consumed samples:        72704 | consumed tokens:     18612224 | elapsed time per iteration (ms): 127775.7 | learning rate: 1.645E-05 | global batch size:  1024 | lm loss: 9.091290E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.014 | tokens per gpu per second (tgs): 1025.798 | TFLOPs: 0.88 |
 iteration       72/     100 | consumed samples:        73728 | consumed tokens:     18874368 | elapsed time per iteration (ms): 127924.5 | learning rate: 1.579E-05 | global batch size:  1024 | lm loss: 9.081987E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 8.005 | tokens per gpu per second (tgs): 1024.604 | TFLOPs: 0.88 |
 iteration       73/     100 | consumed samples:        74752 | consumed tokens:     19136512 | elapsed time per iteration (ms): 128045.8 | learning rate: 1.514E-05 | global batch size:  1024 | lm loss: 9.074306E+00 | loss scale: 1.0 | actual seqlen:   256 | number of skipped iterations:   0 | number of nan iterations:   0 | samples per second: 7.997 | tokens per gpu per second (tgs): 1023.634 | TFLOPs: 0.88 |
